Year,MB_REF_count,REF_regionAVG,REF_regionAVG_cum-rel-1970
1950,5,-1142,5023
1951,4,-345,4678
1952,4,-561,4117
1953,8,-559,3558
1954,7,-417,3141
1955,8,375,3516
1956,9,-158,3358
1957,11,-102,3256
1958,11,-840,2416
1959,12,-416,2000
1960,14,-536,1464
1961,15,-375,1089
1962,19,-189,900
1963,22,-298,602
1964,22,358,960
1965,24,188,1148
1966,27,-226,922
1967,30,-81,841
1968,32,-89,752
1969,32,-487,265
1970,33,-265,0
1971,33,-240,-240
1972,33,-276,-516
1973,33,-145,-661
1974,33,-218,-879
1975,34,-208,-1087
1976,36,-188,-1275
1977,36,-332,-1607
1978,36,-206,-1813
1979,36,-399,-2212
1980,36,-112,-2324
1981,35,-176,-2500
1982,37,-471,-2971
1983,38,142,-2829
1984,41,-295,-3124
1985,41,-328,-3452
1986,41,-593,-4045
1987,41,94,-3951
1988,41,-68,-4019
1989,41,-336,-4355
1990,41,-522,-4877
1991,41,-474,-5351
1992,41,-103,-5454
1993,41,-298,-5752
1994,41,-657,-6409
1995,41,-431,-6840
1996,41,-451,-7291
1997,41,-811,-8102
1998,40,-490,-8592
1999,40,-754,-9346
2000,40,-262,-9608
2001,40,-250,-9858
2002,40,-434,-10292
2003,40,-536,-10828
2004,39,-733,-11561
2005,41,-766,-12327
2006,41,-812,-13139
2007,40,-576,-13715
2008,41,-345,-14060
2009,41,-552,-14612
2010,41,-829,-15441
2011,41,-926,-16367
2012,41,-686,-17053
2013,40,-838,-17891
2014,38,-749,-18640
2015,40,-1104,-19744
2016,41,-981,-20725
2017,41,-769,-21494
2018,41,-1184,-22678
2019,38,-1177,-23855
2020,33,-982,-24837
