Annee;GISS-NASA;NOAA;Hadley Center;Moyenne;Moyenne glissante sur 11 ans
1848;;;;;
1849;;;;;
1850;;;-0,061215686;-0,06;
1851;;;0,093784314;0,09;
1852;;;0,083784314;0,08;
1853;;;0,042784314;0,04;
1854;;;0,063784314;0,06;
1855;;;0,039784314;0,04;-0,008
1856;;;-0,046215686;-0,05;-0,011
1857;;;-0,149215686;-0,15;-0,039
1858;;;-0,155215686;-0,16;-0,044
1859;;;0,027784314;0,03;-0,064
1860;;;-0,031215686;-0,03;-0,067
1861;;;-0,095215686;-0,1;-0,065
1862;;;-0,212215686;-0,21;-0,062
1863;;;0,033784314;0,03;-0,041
1864;;;-0,182215686;-0,18;-0,023
1865;;;0,032784314;0,03;-0,022
1866;;;0,060784314;0,06;-0,021
1867;;;-0,009215686;-0,01;-0,005
1868;;;0,073784314;0,07;0,015
1869;;;0,049784314;0,05;0,007
1870;;;0,035784314;0,04;0,016
1871;;;-0,023215686;-0,02;0,006
1872;;;0,084784314;0,08;0,022
1873;;;0,007784314;0,01;0,055
1874;;;-0,056215686;-0,06;0,055
1875;;;-0,083215686;-0,08;0,057
1876;;;-0,072215686;-0,07;0,064
1877;;;0,236784314;0,24;0,075
1878;;;0,346784314;0,35;0,069
1879;;;0,081784314;0,08;0,06
1880;0,05;0,06;0,084784314;0,06;0,057
1881;0,14;0,09;0,111784314;0,11;0,059
1882;0,11;0,08;0,098784314;0,1;0,055
1883;0,04;0;0,015784314;0,02;0,036
1884;-0,07;-0,09;-0,097215686;-0,09;0,016
1885;-0,11;-0,07;-0,077215686;-0,09;-0,004
1886;-0,09;-0,06;-0,055215686;-0,07;-0,012
1887;-0,14;-0,1;-0,106215686;-0,12;-0,032
1888;0,05;0,05;0,004784314;0,03;-0,054
1889;0,12;0,1;0,140784314;0,12;-0,065
1890;-0,13;-0,16;-0,104215686;-0,13;-0,061
1891;-0,01;-0,07;-0,018215686;-0,03;-0,043
1892;-0,05;-0,12;-0,143215686;-0,1;-0,028
1893;-0,1;-0,15;-0,161215686;-0,14;-0,025
1894;-0,08;-0,13;-0,098215686;-0,1;-0,025
1895;0;-0,06;-0,078215686;-0,05;-0,025
1896;0,11;0,09;0,125784314;0,11;-0,009
1897;0,11;0,08;0,105784314;0,1;-0,013
1898;-0,05;-0,09;-0,100215686;-0,08;-0,019
1899;0,04;0,03;0,022784314;0,03;-0,029
1900;0,14;0,11;0,108784314;0,12;-0,026
1901;0,06;0,03;0,052784314;0,05;-0,022
1902;-0,06;-0,07;-0,090215686;-0,07;-0,048
1903;-0,16;-0,19;-0,167215686;-0,17;-0,077
1904;-0,25;-0,27;-0,208215686;-0,24;-0,092
1905;-0,05;-0,1;-0,065215686;-0,07;-0,113
1906;-0,01;-0,03;0,028784314;0;-0,146
1907;-0,17;-0,2;-0,153215686;-0,17;-0,163
1908;-0,21;-0,25;-0,199215686;-0,22;-0,168
1909;-0,27;-0,26;-0,210215686;-0,25;-0,148
1910;-0,22;-0,22;-0,178215686;-0,21;-0,116
1911;-0,23;-0,26;-0,232215686;-0,24;-0,12
1912;-0,15;-0,16;-0,125215686;-0,15;-0,138
1913;-0,13;-0,14;-0,112215686;-0,13;-0,129
1914;0,06;0,04;0,067784314;0,06;-0,112
1915;0,07;0,09;0,170784314;0,11;-0,091
1916;-0,15;-0,14;-0,071215686;-0,12;-0,067
1917;-0,25;-0,21;-0,156215686;-0,21;-0,049
1918;-0,08;-0,12;-0,021215686;-0,07;-0,038
